board,goal,textgoal,toolbox,defines,globals,syntax,animationScales,tutorialUrl
"['[1,3]', '[1,3]','(headNum) => (secondNum) => headNum > secondNum ? headNum : secondNum', 'get', 'get']",['3'],Get the maximum number from the list,"['0', '1']",,{},[],{},
"[""function max_num_list(list) { return list == [] ? 0 : (head( _ ) > max_num_list( _ )) ? head(list) : (max_num_list(tail(list))); }"", ""max_num_list([1,3])"", ""max_num_list([3,1])""]","['3', '3']","Define a function that returns the maximum number from the list. If the list is empty, return 0.","['list', 'list', 'head', 'tail']",['function max_num_list(list) { return list == [] ? 0 : (head(list) > max_num_list(tail(list))) ? head(list) : (max_num_list(tail(list))); }'],{},[],{},
"['[1,2,3,4,5]', ""function min_num_list(list) {return _; }"", ""list == [] ? 100 : _"", ""_ < min_num_list(_) ? head(list) : min_num_list(_) ""]",['1'],Define a function that returns the minimum number of the list (return 100 if list is empty).,"['min_num_list', 'head', '__unlimited; tail', '__unlimited; list']",,{},[],{},
"['[3,2,1,4,5]', ""function min_num_list(list) {return _; }"", ""min_num_list"", ""_ == [] ? 100 : _"", ""_ < _ ? _ : _"", ""min_num_list(_)""]",['1'],Define a function that returns the minimum number of the list (return 100 if list is empty).,"['min_num_list', '__unlimited; head', '__unlimited; tail', '__unlimited; list']",['function min_num_list(list) { return  ((list) == ([])) ? (100) : (((head(list)) < (min_num_list(tail(list)))) ? (head(list)) : (min_num_list(tail(list)))); }'],{},[],{},
"['function getIndexZero(list) {return _;}', 'head(list)', '[A,B,C]']",['A'],Index zero of the list corresponds to the first item. Try it!,['getIndexZero'],,{},[],{},
"['function getIndexOne(list) {return _;}', 'head', 'tail', 'list', '[A,B,C]']",['B'],Get the item at the first index.,['getIndexOne'],,{},[],{},
"['function getNth(list, index) {return index == 0 ? _ : getNth(_, (index-1));}', '[A,B,C]', 'head(list)', 'tail(list)']",['C'],"Now, let's build a general function that gets the nth index.","['getNth', '2']",,{},[],{},
"['function getNth(list, index) {return _ == _ ? _ : getNth(_, _);}', '[A,B,C]', 'index', 'index', '_-_']",['C'],"Now, let's build a general function that gets the nth index.","['getNth', '0', '1', '2', '__unlimited; head', '__unlimited; tail', '__unlimited; list']",,{},[],{},
"['get', '[A,B,C]']",['B'],The built in get function does the same thing as getNth. Try it!,"['0', '1', '2', '3']",,{},[],{},
"[""['star', 'triangle', 'rect']"", ""index_of(_, 'rect')"", ""function index_of(list, value) { return head(list) == value ? 0 : (1 + index_of(tail(list) , _ )); }"", ""value""]",['2'],Define a function that returns the index of the item in the list.,[],,{},[],{},
"[""['star', 'triangle', 'rect']"", ""index_of(_, _)"", ""function index_of(list, value) { return _ == _ ? _ : (_ + index_of(_ , value)); }"", ""0"", ""1"", ""head"", ""tail"", ""value""]",['1'],Define a function that returns the index of the item in the list.,"[""'star'"", ""'rect'"", ""'triangle'"", ""__unlimited; list""]",,{},[],{},
